fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5.0
7.3,0.65,0.01,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7.0
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7.0
7.5,0.5,0.495,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5.0
8.9,0.62,0.395,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5.0
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7.0
7.4,0.59,0.0,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4.0
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6.0
6.3,0.39,0.01,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5.0
7.6,0.41,0.07,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5.0
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5.0
7.8,0.645,0.0,2.0,0.08199999999999999,7.0,16.0,0.9964,3.38,0.59,9.8,6.0
6.7,0.675,0.07,2.4,0.08900000000000001,17.0,82.0,0.9958,3.35,0.54,10.1,5.0
6.9,0.685,0.15,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6.0
5.2,0.32,0.25,1.8,0.10300000000000001,13.0,50.0,0.9957,3.38,0.55,9.2,5.0
7.8,0.6,0.14,2.4,0.086,4.0,15.0,0.9975,3.42,0.6,10.8,6.0
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7.0
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.9940000000000001,3.5,0.48,9.8,4.0
8.8,0.61,0.3,2.8,0.08800000000000001,17.0,46.0,0.9976,3.26,0.51,9.3,4.0
4.6,0.52,0.215,2.1,0.054000000000000006,7.0,65.0,0.9934,3.9,0.56,13.1,4.0
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5.0
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5.0
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5.0
5.6,0.31,0.37,1.4,0.07400000000000001,12.0,96.0,0.9954,3.32,0.58,9.2,5.0
8.8,0.66,0.26,1.7,0.07400000000000001,4.0,23.0,0.9971,3.15,0.74,9.2,5.0
6.6,0.52,0.04,2.2,0.069,7.0,15.0,0.9956,3.4,0.63,9.4,6.0
