fixed acidity,volatile acidity,citric acid,residual sugar,quality
7.4,0.7,0.0,1.9,5.0
7.3,0.65,0.01,1.2,7.0
7.8,0.58,0.02,2.0,7.0
7.5,0.5,0.495,6.1,5.0
8.9,0.62,0.395,3.9,5.0
8.5,0.28,0.56,1.8,7.0
7.4,0.59,0.0,4.4,4.0
7.9,0.32,0.51,1.8,6.0
6.3,0.39,0.01,1.4,5.0
7.6,0.41,0.07,1.8,5.0
7.1,0.71,0.0,1.9,5.0
7.8,0.645,0.0,2.0,6.0
6.7,0.675,0.07,2.4,5.0
6.9,0.685,0.15,2.5,6.0
5.2,0.32,0.25,1.8,5.0
7.8,0.6,0.14,2.4,6.0
8.1,0.38,0.28,2.1,7.0
5.7,1.13,0.09,1.5,4.0
8.8,0.61,0.3,2.8,4.0
4.6,0.52,0.215,2.1,4.0
7.7,0.935,0.43,2.2,5.0
8.7,0.29,0.52,1.6,5.0
6.4,0.4,0.23,1.6,5.0
5.6,0.31,0.37,1.4,5.0
8.8,0.66,0.26,1.7,5.0
6.6,0.52,0.04,2.2,6.0
8.6,0.38,0.36,4.0,5.0
7.6,0.51,0.15,2.8,6.0
10.2,0.42,0.57,3.4,5.0
7.8,0.59,0.18,2.3,5.0
7.3,0.39,0.45,2.4,6.0
7.5,0.52,0.16,1.9,7.0
7.2,0.725,0.05,4.65,5.0
7.2,0.725,0.31,4.65,5.0
6.6,0.705,0.31,1.6,5.0
7.7,0.67,0.295,2.1,5.0
7.7,0.69,0.22,1.9,5.0
8.3,0.675,0.26,2.1,4.0
9.7,0.32,0.185,2.5,5.0
8.8,0.41,0.64,2.2,5.0
6.8,0.785,0.0,2.4,6.0
8.3,0.625,0.265,1.5,4.0
7.8,0.43,0.24,1.9,5.0
7.4,0.5,0.185,2.0,5.0
7.3,0.67,0.26,1.8,5.0
6.9,0.55,0.15,2.2,5.0
8.6,0.49,0.31,1.9,6.0
7.7,0.49,0.26,1.9,5.0
9.3,0.39,0.31,2.1,5.0
7.0,0.62,0.08,1.8,5.0
7.9,0.52,0.26,1.9,5.0
